"rt","m.z","p.value","mode"
2.171,101.80002,0.724924149168591,"positive"
2.17,102.02307,0.751347233509685,"positive"
4.71,102.05488,0.122729891935785,"positive"
1.815,102.09025,0.0413471994361926,"positive"
1.239,102.12763,0.360627531068123,"positive"
8.512,102.12768,0.355978511933996,"positive"
1.035,102.12774,0.178191893764243,"positive"
0.567,102.12774,0.767905787660299,"positive"
2.132,102.12777,0.682919381548428,"positive"
0.307,102.12779,0.585702392918932,"positive"
0.413,102.12785,0.321921232358429,"positive"
2.235,102.12877,0.422572955243959,"positive"
2.168,102.24183,0.836813440586771,"positive"
2.165,102.46619,0.890555215481807,"positive"
2.164,102.68866,0.945723023975134,"positive"
4.169,103.0391,0.218185788211169,"positive"
3.397,103.05387,0.0509498472597334,"positive"
0.393,103.05392,0.87451451741569,"positive"
1.872,103.33125,0.0852104218438673,"positive"
0.393,104.06191,0.748570915425083,"positive"
2.206,104.10692,0.850943510782664,"positive"
1.872,104.10722,0.533580423988271,"positive"
1.873,104.26728,0.534302126562422,"positive"
1.873,104.38786,0.492232312552126,"positive"
1.873,104.43951,0.527391152147096,"positive"
1.867,104.5289,0.379928113651719,"positive"
1.869,104.57016,0.505215402427762,"positive"
1.867,104.71225,0.617327742549007,"positive"
1.677,105.03316,0.116182794959399,"positive"
0.47,105.03678,0.500080290302542,"positive"
0.371,105.07014,0.134270055139959,"positive"
5.206,106.04944,0.126290186082016,"positive"
2.691,106.08589,0.0151876379675785,"positive"
3.301,106.08612,0.904143906340137,"positive"
1.23,106.08632,0.48755993515952,"positive"
2.166,106.7091,0.633099085237967,"positive"
2.168,106.93608,0.656824076867932,"positive"
0.393,107.08534,0.555051247784356,"positive"
2.166,107.16379,0.74414246241891,"positive"
2.165,107.38886,0.912333557121809,"positive"
2.162,107.61481,0.922756865204993,"positive"
2.16,107.84584,0.846446609209682,"positive"
2.158,108.06794,0.530520179267705,"positive"
0.466,108.08077,0.799998592172515,"positive"
2.157,108.30134,0.569631149862234,"positive"
2.149,108.52901,0.376226361806551,"positive"
2.151,108.75988,0.388209001121936,"positive"
2.147,108.98804,0.421508096040783,"positive"
0.477,109.05217,0.501559474554715,"positive"
0.342,109.06506,0.259621273886978,"positive"
0.365,109.10152,0.868239050878866,"positive"
2.145,109.2179,0.514492204976651,"positive"
2.143,109.44731,0.499196232664277,"positive"
2.142,109.674,0.497316885769052,"positive"
2.14,109.9108,0.906431308787077,"positive"
2.265,110.05976,0.74863248880632,"positive"
0.492,110.05989,0.215785944143096,"positive"
2.137,110.1381,0.829263095160065,"positive"
2.139,110.36951,0.871847749338925,"positive"
0.345,111.04416,0.136854019156811,"positive"
1.719,113.03441,0.21795161550771,"positive"
0.348,113.05975,0.875836891630022,"positive"
0.34,113.13261,0.497588932315128,"positive"
1.863,113.16353,0.300651241592736,"positive"
1.613,113.21198,0.253385546940541,"positive"
0.511,113.32288,0.856522863120862,"positive"
0.515,113.55626,0.891037288005602,"positive"
0.506,113.78805,0.817443087686337,"positive"
1.614,114.06643,0.466250803651608,"positive"
0.65,114.09118,0.515201338433051,"positive"
0.364,114.09138,0.744915896640836,"positive"
0.492,114.09144,0.937514436023393,"positive"
1.613,114.23409,0.491905174534974,"positive"
0.492,114.25874,0.920142625278894,"positive"
0.492,114.28464,0.914691511537943,"positive"
1.615,114.30625,0.538451061808542,"positive"
1.613,114.36029,0.622166479957749,"positive"
0.492,114.38507,0.959004078593281,"positive"
1.613,114.41435,0.468270643896902,"positive"
0.492,114.43928,0.935001496334691,"positive"
1.614,114.55095,0.45410774100236,"positive"
0.392,115.05394,0.633256147006753,"positive"
0.361,115.07569,0.478235751096885,"positive"
3.464,115.08629,0.0454521136439968,"positive"
0.845,116.07059,0.478180948722327,"positive"
6.048,116.07075,0.21957886876691,"positive"
4.151,116.07081,0.0219226902857565,"positive"
1.186,116.10691,0.798712265771555,"positive"
1.879,116.10743,0.519239410579494,"positive"
2.079,117.05798,0.557803180608013,"positive"
0.392,117.06972,0.84039539618531,"positive"
0.422,117.10189,0.769040384909002,"positive"
3.471,117.21227,0.38001290029462,"positive"
0.368,118.06512,0.495101673798112,"positive"
2.087,118.06536,0.510848296265057,"positive"
0.492,118.06546,0.224030908481967,"positive"
4.039,118.08601,0.725971860757352,"positive"
4.15,118.08601,0.154120505788431,"positive"
3.013,118.0861,0.62604911675275,"positive"
0.576,118.0861,0.0979925345719998,"positive"
3.162,118.08617,0.272308413175208,"positive"
2.911,118.08621,0.196225637377109,"positive"
3.477,118.08621,0.260833729588907,"positive"
1.588,118.1229,0.328364409184232,"positive"
3.477,118.25684,0.235514483097752,"positive"
3.477,118.38503,0.0928366608501324,"positive"
3.477,118.44009,0.108532612755555,"positive"
3.478,118.73046,0.191200406599575,"positive"
0.438,119.06038,0.49842050029291,"positive"
0.392,119.08564,0.790307289052544,"positive"
3.476,119.08968,0.146547786270773,"positive"
4.712,120.06538,0.1593204620919,"positive"
1.173,120.06559,0.423361749773096,"positive"
3.399,120.08068,0.0880371880018316,"positive"
0.719,121.03943,0.152375663260552,"positive"
1.107,122.0962,0.587469793561035,"positive"
0.596,122.0963,0.434435147351614,"positive"
3.238,122.92418,0.393936565983645,"positive"
1.676,123.0442,0.38001633187522,"positive"
0.614,123.0554,0.28240870175282,"positive"
0.363,123.08064,0.508216072954486,"positive"
0.364,123.11692,0.15622460103473,"positive"
1.811,124.07566,0.15988867619578,"positive"
0.681,124.07568,0.356466713884088,"positive"
0.42,124.07572,0.505811747420237,"positive"
4.15,125.02072,0.379798110115061,"positive"
0.343,125.02319,0.108707522203727,"positive"
0.368,125.09655,0.784339006891764,"positive"
0.668,125.1072,0.0670250781289237,"positive"
6.412,125.98618,0.985976925044168,"positive"
2.384,126.06564,0.500147895137591,"positive"
0.668,126.09131,0.239961352508172,"positive"
0.362,126.09151,0.767516920161203,"positive"
0.538,126.09186,0.12721019014358,"positive"
0.392,127.03931,0.888624388667362,"positive"
1.766,127.07276,0.474380956588137,"positive"
0.344,127.11219,0.607695975137705,"positive"
2.279,128.07057,0.516806298924041,"positive"
0.364,128.10699,0.820728527958145,"positive"
0.58,128.10709,0.0868261486392124,"positive"
0.343,129.01835,0.847564553641769,"positive"
0.393,129.05433,0.560408991672646,"positive"
4.773,129.06588,0.680637246143876,"positive"
3.494,129.1551,0.0755049766798469,"positive"
2.887,130.04961,0.0632158956102173,"positive"
5.166,130.04979,0.220026668614349,"positive"
3.444,130.08607,0.509837406824172,"positive"
6.028,130.08617,0.315171779598271,"positive"
0.495,130.08632,0.655419842143453,"positive"
2.056,130.10861,0.468057263340769,"positive"
5.158,130.15891,0.560363934111964,"positive"
1.008,130.15893,0.237061935187101,"positive"
0.336,130.15893,0.0180603110916152,"positive"
2.233,130.15893,0.777465414859955,"positive"
4.196,130.15899,0.538106117331829,"positive"
3.016,130.15901,0.565021836133855,"positive"
2.108,130.15906,0.62149726137714,"positive"
1.439,130.15906,0.777725265564412,"positive"
0.882,130.15907,0.666136322439082,"positive"
4.047,130.15908,0.919712079005068,"positive"
0.513,130.1592,0.850554253324067,"positive"
3.398,131.0489,0.0222188414958116,"positive"
0.362,131.08565,0.878333947495972,"positive"
4.587,132.07688,0.38644492523415,"positive"
3.409,132.08081,0.241980894193707,"positive"
3.318,132.10179,0.621694302645717,"positive"
3.707,132.10183,0.0209566529270684,"positive"
3.528,132.10197,0.00253580313165883,"positive"
3.954,133.03163,0.0684489740967751,"positive"
0.399,133.0646,0.808063672432073,"positive"
0.606,133.08612,0.234477253218658,"positive"
6.05,133.09724,0.248623673395718,"positive"
0.363,133.10144,0.966454265608918,"positive"
0.517,134.05997,0.16736570769497,"positive"
0.715,134.07056,0.139458377992499,"positive"
0.897,134.08165,0.646058924304149,"positive"
2.31,134.11745,0.0957112263837525,"positive"
0.347,135.04392,0.74786053381042,"positive"
0.392,135.08057,0.816159182147491,"positive"
0.43,135.11682,0.399827231478473,"positive"
0.365,135.11732,0.440881860080507,"positive"
0.376,136.02161,0.958578554942072,"positive"
0.827,136.03931,0.481767919417284,"positive"
4.587,136.04782,0.296719560203538,"positive"
1.615,136.04805,0.587795210028923,"positive"
1.047,136.1129,0.904269625731375,"positive"
2.664,137.04574,0.373735380744943,"positive"
1.704,137.0458,0.446406616313588,"positive"
2.561,137.07103,0.457051344453256,"positive"
0.367,137.09591,0.451643817008178,"positive"
0.378,138.01673,0.964650638350825,"positive"
2.336,138.05483,0.500256466546415,"positive"
3.752,138.05511,0.511955281653587,"positive"
0.435,138.06631,0.857321063189529,"positive"
4.061,139.04805,0.443524067384376,"positive"
0.719,139.0501,0.122301179879218,"positive"
0.355,139.05031,0.295948486338228,"positive"
1.641,139.05046,0.0594213152580936,"positive"
0.718,139.11016,0.198407233881694,"positive"
3.481,140.06785,0.05212887575905,"positive"
4.065,140.06815,0.304582245206399,"positive"
0.342,141.05508,0.106910691857381,"positive"
4.296,141.06584,0.384443453203508,"positive"
1.4,141.35135,0.448847093210889,"positive"
1.394,141.6097,0.523664109639728,"positive"
1.396,141.86003,0.17295742698454,"positive"
3.053,142.08595,0.617909647762608,"positive"
1.63,142.08626,0.749912302693342,"positive"
0.609,142.08648,0.743709453122877,"positive"
1.394,142.11191,0.383496268973265,"positive"
0.368,142.12276,0.930929013786611,"positive"
0.789,142.1596,0.439983736503975,"positive"
1.394,142.61904,0.0168078792773579,"positive"
1.396,142.87375,0.404177195888751,"positive"
3.338,143.01414,0.629177290038065,"positive"
4.26,143.08072,0.356328371318539,"positive"
0.602,143.08163,0.568371728888627,"positive"
0.669,143.11768,0.0742401339252382,"positive"
3.411,144.08037,0.186556831555399,"positive"
2.084,144.08127,0.471374253752393,"positive"
3.624,144.10163,0.692735265506509,"positive"
0.537,144.10166,0.0879345921171484,"positive"
4.393,144.10193,0.867231695947852,"positive"
3.339,144.10224,0.722923704607827,"positive"
0.38,144.13804,0.862478872121025,"positive"
3.341,144.29032,0.599474235832438,"positive"
3.339,144.31231,0.593369740077637,"positive"
3.339,144.43225,0.584326463059934,"positive"
3.336,144.50705,0.506176376987761,"positive"
0.672,144.98192,0.688099116582473,"positive"
0.515,144.98225,0.367640640520254,"positive"
3.73,145.04988,0.219400556619802,"positive"
0.36,145.10123,0.49299001469291,"positive"
3.41,146.05976,0.308406929898637,"positive"
0.638,146.06013,0.258818456854715,"positive"
2.087,146.06024,0.464222878341581,"positive"
0.463,146.06371,0.51832693953474,"positive"
0.879,146.08139,0.760774923786239,"positive"
0.411,146.09624,0.623513202322319,"positive"
3.011,146.11756,0.156134217558479,"positive"
4.119,146.11759,0.830400866432461,"positive"
0.514,146.9808,0.17140731580995,"positive"
0.393,147.06534,0.831151140862023,"positive"
5.168,147.07649,0.00605818039602141,"positive"
5.163,147.11061,0.238317800897648,"positive"
6.027,147.11265,0.312317885099194,"positive"
0.362,147.11732,0.722780507716935,"positive"
1.879,147.11822,0.212776826503256,"positive"
1.381,147.93617,0.480640380371047,"positive"
4.16,148.03436,0.111522673565033,"positive"
5.656,148.06043,0.106418907334357,"positive"
1.872,148.11382,0.361046833511854,"positive"
1.38,148.19618,0.22029786298433,"positive"
1.379,148.3908,0.87885664325705,"positive"
1.381,148.45405,0.547478299877465,"positive"
1.379,148.71094,0.783539645103957,"positive"
1.379,148.96522,0.387738766869254,"positive"
0.34,149.02333,0.497390939445348,"positive"
3.396,149.05928,0.0463878170588507,"positive"
0.363,149.09616,0.736101315236046,"positive"
0.364,149.13259,0.594336652306185,"positive"
1.379,149.17235,0.453296780475062,"positive"
1.38,149.22337,0.773162638239212,"positive"
1.38,149.47771,0.0328304965167914,"positive"
1.379,149.73773,0.186273308171203,"positive"
1.38,149.99334,0.284778435068694,"positive"
0.972,150.05819,0.217730689759354,"positive"
3.954,150.05825,0.03012949897161,"positive"
2.957,150.1123,0.884858563891559,"positive"
2.784,150.1125,0.367393835898768,"positive"
1.377,150.24974,0.939224325934043,"positive"
0.477,150.93314,0.494409499810021,"positive"
6.209,151.03532,0.886776688968368,"positive"
5.168,151.04769,0.0680473277065581,"positive"
1.483,151.06148,0.399629430916151,"positive"
0.627,151.09647,0.176067840359283,"positive"
0.365,151.11182,0.721958335188467,"positive"
2.405,151.1441,0.456033599765528,"positive"
0.364,151.14786,0.476265254194177,"positive"
1.613,152.02197,0.722295298606129,"positive"
5.168,152.03192,0.0179076827889323,"positive"
1.373,152.04727,0.872785894634737,"positive"
4.22,152.07027,0.499905417257513,"positive"
0.642,152.0707,0.500627308592346,"positive"
0.476,152.07089,0.499583079150747,"positive"
1.367,152.30718,0.749931364127238,"positive"
1.375,152.56833,0.639709358137625,"positive"
0.343,153.05487,0.286770378774065,"positive"
0.782,153.06616,0.458612211209128,"positive"
0.373,153.0912,0.668398068185487,"positive"
0.43,153.12695,0.414379542974172,"positive"
1.174,153.13886,0.997873131982224,"positive"
0.828,154.04958,0.31732029454383,"positive"
4.585,154.05837,0.42434620325641,"positive"
2.764,154.12276,0.73553928044006,"positive"
1.364,154.62674,0.750140756113056,"positive"
1.366,154.88693,0.594400708553841,"positive"
0.423,155.10673,0.651259508796102,"positive"
1.364,155.15377,0.63219238523689,"positive"
0.882,155.15431,0.194150032310269,"positive"
1.364,155.41288,0.979293459305643,"positive"
1.367,155.67426,0.281495638168229,"positive"
1.367,155.93601,0.503348165521458,"positive"
3.471,156.04206,0.372816008645254,"positive"
4.057,156.04343,0.234563678926941,"positive"
3.241,156.04394,0.870048438587589,"positive"
5.831,156.07642,0.115168025162478,"positive"
0.393,156.08092,0.829599797562539,"positive"
4.291,156.10197,0.153587536414126,"positive"
1.017,156.13815,0.488123600282295,"positive"
0.365,156.13824,0.932308365193616,"positive"
1.365,156.19912,0.340625500405695,"positive"
1.368,156.45848,0.665089453779455,"positive"
1.365,156.72346,0.251407889623464,"positive"
1.366,156.98856,0.695054315069606,"positive"
0.341,157.01304,0.918450432116484,"positive"
5.978,158.09255,0.142922286031738,"positive"
0.417,158.0964,0.571481909189334,"positive"
0.518,158.1171,0.541714729244513,"positive"
3.104,158.11751,0.529163660262517,"positive"
2.65,158.1177,0.736425022353545,"positive"
0.369,158.15401,0.019612319961521,"positive"
1.853,158.15406,0.996238465255346,"positive"
1.385,158.52919,0.680613188963131,"positive"
1.397,158.79735,0.848137464827297,"positive"
4.1,158.96423,0.360176305490916,"positive"
1.701,159.02774,0.133513858475838,"positive"
0.358,159.0654,0.390452508623351,"positive"
5.544,159.07611,0.0173245062020084,"positive"
3.41,159.09144,0.215816374852504,"positive"
2.439,159.14924,0.501858090718812,"positive"
5.462,159.14936,0.190310128942855,"positive"
4.121,160.03446,0.200085403773349,"positive"
2.268,160.07559,0.820478933963896,"positive"
4.058,160.09682,0.553561379711896,"positive"
0.851,160.09684,0.826631838235878,"positive"
0.455,160.11188,0.613042839213898,"positive"
2.599,160.13306,0.453799956027174,"positive"
2.413,160.13314,0.293575834939241,"positive"
2.134,160.13319,0.871909463260807,"positive"
3.68,160.13333,0.0905583070694431,"positive"
2.765,160.13345,0.748905285909668,"positive"
1.345,160.6375,0.00583877920103627,"positive"
4.167,160.88925,0.284495216993588,"positive"
1.349,160.89669,0.0552346058204652,"positive"
0.347,161.09598,0.957828266218441,"positive"
4.545,161.12836,0.5168417787381,"positive"
5.796,161.12844,0.97473636250425,"positive"
5.909,161.12876,0.332416467855064,"positive"
1.35,161.17011,0.0838345918831898,"positive"
1.35,161.43151,0.544871828942,"positive"
1.351,161.69834,0.183637768715741,"positive"
1.352,161.96427,0.107301381342122,"positive"
4.131,162.05002,0.243586018800408,"positive"
1.241,162.07598,0.522928083553824,"positive"
4.166,162.11257,0.0832521720710489,"positive"
1.221,162.12758,0.17027908117005,"positive"
1.353,162.2241,0.145166620395508,"positive"
4.166,162.31238,0.159246283714946,"positive"
4.164,162.34279,0.0406881589061642,"positive"
4.163,162.46276,0.239632516773339,"positive"
1.353,162.50025,0.768916518058893,"positive"
4.169,162.52718,0.0237440089172106,"positive"
4.166,162.69037,0.314400917378166,"positive"
1.354,162.7676,0.945955731542573,"positive"
1.353,163.02813,0.325023667349674,"positive"
0.746,163.11186,0.585437410768548,"positive"
1.556,163.12292,0.484618727123164,"positive"
0.362,163.14835,0.586612356323213,"positive"
1.354,163.2985,0.575585614642523,"positive"
1.353,163.56315,0.83282288794274,"positive"
1.355,163.82887,0.719660788903205,"positive"
0.761,164.07359,0.374154400236134,"positive"
1.352,164.0949,0.893492860736518,"positive"
2.849,164.12815,0.371016798750339,"positive"
0.349,165.0906,0.072228999993991,"positive"
0.453,165.11208,0.88926058206409,"positive"
0.365,165.12767,0.797444422233209,"positive"
1.892,166.07219,0.121540555277896,"positive"
1.571,166.07297,0.0864922007914743,"positive"
3.4,166.08631,0.0624813192911858,"positive"
0.393,166.08679,0.505413850334204,"positive"
0.363,166.12294,0.662920609877064,"positive"
1.337,166.45714,0.52303864910242,"positive"
1.339,166.72542,0.704430022382878,"positive"
1.327,166.9907,0.74496804703186,"positive"
6.413,167.01264,0.954410052137659,"positive"
1.095,167.05583,0.509937831140678,"positive"
1.199,167.05613,0.490904701315012,"positive"
0.452,167.07062,0.49077933905008,"positive"
0.378,167.10627,0.700072762767473,"positive"
1.329,167.25867,0.73455557282824,"positive"
1.329,167.53169,0.450574289811281,"positive"
1.334,167.80241,0.353703762668851,"positive"
0.401,167.99365,0.727625206567809,"positive"
0.512,168.06573,0.500021073424477,"positive"
1.336,168.07556,0.588678904866257,"positive"
1.338,168.34151,0.85067522197953,"positive"
1.339,168.61187,0.284756830375764,"positive"
1.34,168.88376,0.924763449771699,"positive"
5.168,169.05845,0.106457175471146,"positive"
0.38,169.0853,0.567685927521936,"positive"
0.555,169.09733,0.315414542741957,"positive"
0.413,169.12233,0.505901062747122,"positive"
1.34,169.15027,0.860715281410927,"positive"
1.342,169.42623,0.927380058829045,"positive"
1.342,169.69011,0.84125427627047,"positive"
1.342,169.96666,0.603146404074481,"positive"
4.109,169.98574,0.487267761034686,"positive"
3.411,170.05999,0.285764492090988,"positive"
2.075,170.06088,0.430367480945257,"positive"
5.911,170.09234,0.359363145463623,"positive"
0.366,170.09651,0.464479304328815,"positive"
0.657,170.11823,0.699664364555108,"positive"
0.367,170.15431,0.807751272608823,"positive"
1.345,170.23117,0.662059229420459,"positive"
1.344,170.50187,0.839751512677584,"positive"
1.344,170.77752,0.518827726535935,"positive"
1.658,171.149,0.124232965043663,"positive"
0.398,171.14929,0.247976714294566,"positive"
4.062,172.09412,0.156591192591343,"positive"
0.424,172.1332,0.92724213637168,"positive"
2.766,172.13321,0.694972224203402,"positive"
0.367,172.16994,0.332507906319161,"positive"
0.848,172.20616,0.42766701119029,"positive"
0.717,172.20626,0.586526137697808,"positive"
0.629,173.0784,0.781646205531595,"positive"
0.392,173.09608,0.95845776649984,"positive"
0.362,173.13265,0.810465627270302,"positive"
1.332,173.17139,0.613187028793255,"positive"
1.322,173.44501,0.739607265079712,"positive"
1.317,173.71714,0.940584487448623,"positive"
1.315,173.98821,0.856245985699179,"positive"
0.684,174.11309,0.495741293292051,"positive"
3.144,174.12379,0.18125381135038,"positive"
5.934,174.13507,0.613645095138208,"positive"
0.897,174.18566,0.733118513540466,"positive"
1.318,174.2665,0.835802638805018,"positive"
1.321,174.53597,0.609161423415618,"positive"
1.322,174.81319,0.363619824417686,"positive"
1.696,175.00151,0.403915711810003,"positive"
1.324,175.08143,0.704675058049584,"positive"
4.857,175.10796,0.527055524814769,"positive"
5.979,175.1191,0.2132147366407,"positive"
5.854,175.14341,0.28368569941601,"positive"
0.362,175.14833,0.689856945334183,"positive"
1.329,175.36006,0.403744801412873,"positive"
1.328,175.637,0.0641965889906649,"positive"
1.33,175.90751,0.208151384211695,"positive"
0.477,176.00069,0.347168085652484,"positive"
3.528,176.06572,0.30378529959271,"positive"
5.542,176.10284,0.0240098678625466,"positive"
1.333,176.18363,0.239014162312546,"positive"
1.334,176.45885,0.488876125819541,"positive"
1.334,176.72906,0.931975264740604,"positive"
1.336,177.00411,0.722812121618354,"positive"
0.412,177.04039,0.492632696363421,"positive"
0.827,177.06578,0.192338738070331,"positive"
5.597,177.08716,0.285075147189709,"positive"
0.541,177.10222,0.411336455969121,"positive"
2.268,177.10274,0.7829252877038,"positive"
0.407,177.11188,0.717593597461745,"positive"
0.609,177.11223,0.539155940948139,"positive"
0.458,177.1401,0.576557425809583,"positive"
0.363,177.16372,0.574860426610754,"positive"
1.339,177.2809,0.686067402320096,"positive"
3.328,178.08602,0.571797895897274,"positive"
0.649,178.08988,0.392029109649442,"positive"
1.17,178.13365,0.742209879097054,"positive"
3.513,179.00522,0.509453991495468,"positive"
0.374,179.06461,0.485002905778022,"positive"
0.352,179.10609,0.250021747734637,"positive"
0.429,179.1278,0.616000641512192,"positive"
0.622,179.70739,0.641437468204289,"positive"
1.324,179.98869,0.525289616821308,"positive"
1.688,180.0661,0.0680419185607888,"positive"
0.551,180.0761,0.490656933057866,"positive"
2.062,180.08889,0.692111226221741,"positive"
2.382,180.10196,0.534860631593675,"positive"
0.362,180.17515,0.846121123918512,"positive"
0.498,180.17525,0.409070678140792,"positive"
1.31,180.26342,0.735725720973257,"positive"
1.309,180.54425,0.436627248818757,"positive"
1.308,180.81363,0.908759519004316,"positive"
0.453,181.02598,0.288811337840035,"positive"
0.342,181.05003,0.160038723165903,"positive"
1.693,181.05283,0.53772401620715,"positive"
0.619,181.07238,0.472872278485007,"positive"
1.311,181.0859,0.783106875182828,"positive"
4.076,181.09404,0.370852439846423,"positive"
0.362,181.15874,0.633156131212878,"positive"
1.309,181.36963,0.161283747772003,"positive"
1.309,181.64494,0.304850075804272,"positive"
1.309,181.92768,0.675157168992459,"positive"
3.266,182.05771,0.77810544314379,"positive"
3.331,182.05796,0.683260659218185,"positive"
4.062,182.07876,0.53122507886094,"positive"
0.447,182.08145,0.438645289743519,"positive"
1.312,182.18074,0.673870479067616,"positive"
0.966,182.19053,0.209891951957271,"positive"
1.314,182.20235,0.269700593579935,"positive"
1.314,182.47599,0.273577656185118,"positive"
1.317,182.75649,0.303460341065038,"positive"
1.314,183.02854,0.247672961737873,"positive"
0.404,183.10133,0.663754950548453,"positive"
5.797,183.11071,0.665222388372928,"positive"
0.878,183.11301,0.243393254101917,"positive"
1.316,183.3106,0.46582722203109,"positive"
0.419,183.98842,0.593316076607675,"positive"
0.93,184.06108,0.916807761143488,"positive"
2.204,184.07342,0.339009552594065,"positive"
1.857,184.07344,0.399886836053326,"positive"
1.971,184.07353,0.29757375658482,"positive"
2.076,184.07353,0.140053687761473,"positive"
1.262,184.07372,0.232830137318744,"positive"
1.441,184.07373,0.555567164239357,"positive"
4.15,184.09456,0.0165200593135771,"positive"
0.567,184.13295,0.250999715076027,"positive"
0.37,184.16953,0.72975918244894,"positive"
1.146,184.1697,0.386099435014436,"positive"
2.016,184.16981,0.0695956724073166,"positive"
1.286,184.68724,0.684279377987373,"positive"
5.168,185.03223,0.0084662704062389,"positive"
0.344,185.08077,0.629760489884565,"positive"
0.669,185.12828,0.022049275101981,"positive"
0.791,185.16489,0.477598008253513,"positive"
1.292,185.24685,0.191094731824191,"positive"
6.089,185.98368,0.331866600321276,"positive"
3.579,186.11258,0.324406774097361,"positive"
2.274,186.11276,0.543364841745177,"positive"
0.424,186.14857,0.713976964273918,"positive"
0.363,186.18562,0.0967126409310745,"positive"
0.725,186.22148,0.035055414607379,"positive"
1.314,186.89009,0.451224665501681,"positive"
0.342,187.06063,0.191380860782127,"positive"
0.363,187.12639,0.277917831594853,"positive"
0.443,187.144,0.528815426242178,"positive"
1.314,187.16785,0.465333446150827,"positive"
1.295,187.44797,0.648381428269379,"positive"
1.296,187.73316,0.880575349945504,"positive"
1.299,188.01341,0.988109440447283,"positive"
5.155,188.03516,0.107820105627004,"positive"
3.408,188.07054,0.3024265723954,"positive"
2.087,188.07099,0.449423832212729,"positive"
0.654,188.12804,0.541176564665464,"positive"
3.987,188.12845,0.409522347013981,"positive"
5.615,188.17583,0.071365063026035,"positive"
1.297,188.29067,0.891391451731433,"positive"
1.298,188.57257,0.5751852401344,"positive"
1.297,188.84901,0.870279615435134,"positive"
0.628,189.05238,0.902180188145428,"positive"
0.363,189.12211,0.346286236048607,"positive"
4.66,189.12301,0.123395222831832,"positive"
1.295,189.13172,0.719780133557192,"positive"
0.417,189.16363,0.298639505009986,"positive"
1.296,189.42064,0.678883639777155,"positive"
1.297,189.69897,0.164617136190259,"positive"
1.292,189.98888,0.0696346430557683,"positive"
0.479,190.01655,0.463974825459123,"positive"
5.166,191.04037,0.0897833222802546,"positive"
0.545,191.0916,0.339230467158049,"positive"
0.362,191.14324,0.683576023992063,"positive"
3.427,192.06527,0.278841182797252,"positive"
2.75,192.1017,0.381407234665483,"positive"
0.58,192.10509,0.156560852096784,"positive"
